snapshot_month,snapshot_at,our_product_id,our_product_title,our_category,our_product_url,our_price_ars,our_price_basis,competitor_domain,competitor_product_title,competitor_product_url,competitor_category,competitor_price_ars,competitor_price_basis,competitor_includes_personalization,title_match_key,match_type,price_gap_ars,price_gap_pct,coverage_status
2026-03,2026-03-28T13:38:30.823Z,4452,	Auriculares Concerto,Hogar y Tiempo Libre,https://diezypunto-web.vercel.app/producto/4452,21099.99,final,merch.com.ar,Auriculares Concerto,https://merch.com.ar/producto/auriculares-concerto/,Tecnología,31818.79,plus_vat,unknown,auriculares concerto,exact_normalized_title,-10718.80,-33.6870,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,4450,	Parlante Wireless Earth,Eco,https://diezypunto-web.vercel.app/producto/4450,13809.99,final,merch.com.ar,Parlante Wireless Earth,https://merch.com.ar/producto/parlante-wireless-earth/,Tecnología,20825.47,plus_vat,unknown,parlante wireless earth,exact_normalized_title,-7015.48,-33.6870,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,4540,	Set de Belleza BLACK,Hogar y Tiempo Libre,https://diezypunto-web.vercel.app/producto/4540,2441.99,final,merch.com.ar,Set de Belleza BLACK,https://merch.com.ar/producto/set-de-belleza-black/,Hogar y tiempo libre,3835.97,plus_vat,unknown,set de belleza black,exact_normalized_title,-1393.98,-36.3397,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,cdo_BP325," Bolígrafo aluminio reciclado y bambú ""BALU""",Escritura,https://diezypunto-web.vercel.app/producto/cdo_BP325,952.00,final,merch.com.ar,,,,,,,boligrafo aluminio reciclado y bambu balu,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,cdo_BP307,"""Bolígrafo CROMA II""",Escritura,https://diezypunto-web.vercel.app/producto/cdo_BP307,350.00,final,merch.com.ar,,,,,,,boligrafo croma ii,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1280,12016,Llaveros,https://diezypunto-web.vercel.app/producto/xt_1280,1174.45,final,merch.com.ar,,,,,,,12016,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1167,12077,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1167,1556.50,final,merch.com.ar,,,,,,,12077,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1160,13190,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1160,2009.30,final,merch.com.ar,,,,,,,13190,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_2103,1345,Escritura,https://diezypunto-web.vercel.app/producto/xt_2103,2589.45,final,merch.com.ar,,,,,,,1345,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1203,1728,Bienestar,https://diezypunto-web.vercel.app/producto/xt_1203,3862.95,final,merch.com.ar,,,,,,,1728,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_2273,1732,Bienestar,https://diezypunto-web.vercel.app/producto/xt_2273,4273.30,final,merch.com.ar,,,,,,,1732,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_2102,1737,Bienestar,https://diezypunto-web.vercel.app/producto/xt_2102,2235.70,final,merch.com.ar,,,,,,,1737,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1157,1859,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1157,2631.90,final,merch.com.ar,,,,,,,1859,none,,,no_title_match
